Sequence Name	mcg	gvh	alm	mit	erl	pox	vac	nuc	class
HS71_YEAST	0.53	0.48	0.51	0.18	0.5	0	0.52	0.27	CYT
SSN6_YEAST	0.19	0.66	0.6	0.14	0.5	0	0.2	0.25	NUC
GBG_YEAST	0.36	0.37	0.63	0.25	0.5	0	0.3	0.22	CYT
STL1_YEAST	0.36	0.5	0.39	0.23	0.5	0	0.5	0.22	ME3
IF2A_YEAST	0.51	0.59	0.55	0.21	0.5	0	0.52	0.22	CYT
SWI4_YEAST	0.55	0.38	0.52	0.16	0.5	0	0.49	0.64	NUC
TCPE_YEAST	0.62	0.42	0.47	0.16	0.5	0	0.52	0.22	CYT
EF1A_YEAST	0.63	0.43	0.48	0.11	0.5	0	0.51	0.22	CYT
TFC4_YEAST	0.33	0.17	0.52	0.13	0.5	0	0.51	0.75	NUC
IF5_YEAST	0.41	0.46	0.57	0.25	0.5	0	0.57	0.38	CYT
TOA1_YEAST	0.57	0.29	0.63	0.22	0.5	0	0.49	0.27	NUC
TPM1_YEAST	0.42	0.45	0.75	0.21	0.5	0	0.48	0.22	CYT
TRPE_YEAST	0.33	0.46	0.53	0.12	0.5	0	0.5	0.27	CYT
TBB_YEAST	0.53	0.42	0.53	0.19	0.5	0	0.47	0.22	CYT
UBC6_YEAST	0.43	0.48	0.36	0.26	0.5	0	0.52	0.22	ME3
UME6_YEAST	0.6	0.57	0.63	0.22	0.5	0	0.5	0.49	NUC
RMAR_YEAST	0.66	0.37	0.6	0.25	0.5	0	0.69	0.22	MIT
VATD_YEAST	0.48	0.49	0.49	0.26	0.5	0	0.39	0.27	VAC
VP45_YEAST	0.46	0.52	0.51	0.13	0.5	0	0.47	0.22	CYT
YAF1_YEAST	0.45	0.51	0.43	0.22	0.5	0	0.57	0.22	NUC
CACM_YEAST	0.45	0.39	0.46	0.29	0.5	0	0.42	0.22	MIT
YB00_YEAST	0.25	0.41	0.47	0.14	0.5	0	0.56	0.68	NUC
YB8G_YEAST	0.65	0.62	0.26	0.33	0.5	0	0.55	0.22	ME3
YCQ7_YEAST	0.67	0.61	0.39	0.24	0.5	0	0.51	0.22	ME3
YCZ6_YEAST	0.58	0.44	0.45	0.32	0.5	0	0.52	0.37	NUC
YHA9_YEAST	0.47	0.4	0.63	0.19	0.5	0	0.52	0.32	NUC
YHK5_YEAST	0.92	0.66	0.52	0.23	0.5	0	0.53	0.22	ME1
YHY0_YEAST	0.82	0.63	0.47	0.18	0.5	0	0.5	0.22	POX
YKA5_YEAST	0.41	0.25	0.59	0.44	0.5	0	0.6	0.69	NUC
ACP_YEAST	0.52	0.53	0.58	0.69	0.5	0	0.5	0.22	MIT
YOX1_YEAST	0.59	0.67	0.54	0.19	0.5	0	0.48	0.6	NUC
ZUO1_YEAST	0.43	0.4	0.6	0.16	0.5	0	0.53	0.39	NUC
AAR2_YEAST	0.58	0.44	0.57	0.13	0.5	0	0.54	0.22	NUC
ACON_YEAST	0.6	0.4	0.52	0.46	0.5	0	0.53	0.22	MIT
ADH1_YEAST	0.43	0.53	0.52	0.13	0.5	0	0.55	0.22	CYT
RCS1_YEAST	0.33	0.55	0.51	0.43	0.5	0	0.51	0.22	NUC
ALG8_YEAST	0.41	0.54	0.39	0.2	0.5	0	0.51	0.22	ME3
ARD1_YEAST	0.56	0.48	0.58	0.27	0.5	0	0.51	0.22	CYT
ARG3_YEAST	0.41	0.46	0.59	0.19	0.5	0	0.58	0.27	NUC
ATPA_YEAST	0.45	0.55	0.54	0.66	0.5	0	0.47	0.22	MIT
ATP7_YEAST	0.54	0.52	0.63	0.37	0.5	0	0.46	0.22	MIT
BDF1_YEAST	0.33	0.43	0.64	0.16	0.5	0	0.52	0.52	NUC
CAD1_YEAST	0.48	0.23	0.57	0.27	0.5	0	0.48	0.47	NUC
CB32_YEAST	0.4	0.44	0.49	0.47	0.5	0	0.49	0.27	NUC
TNT_YEAST	0.59	0.6	0.49	0.43	0.5	0	0.53	0.31	MIT
CC16_YEAST	0.62	0.51	0.52	0.42	0.5	0	0.54	0.27	NUC
NOT1_YEAST	0.37	0.46	0.4	0.27	0.5	0	0.45	0.22	NUC
SYLC_YEAST	0.45	0.43	0.51	0.24	0.5	0	0.54	0.33	CYT
CHL1_YEAST	0.42	0.51	0.5	0.12	0.5	0	0.52	0.46	NUC
CIN8_YEAST	0.21	0.41	0.55	0.11	0.5	0	0.5	0.27	CYT
CG13_YEAST	0.43	0.57	0.53	0.53	0.5	0	0.53	0.25	CYT
COQ1_YEAST	0.52	0.51	0.51	0.54	0.5	0	0.55	0.27	MIT
YEX1_YEAST	0.42	0.58	0.41	0.65	0.5	0	0.46	0.26	MIT
CARA_YEAST	0.53	0.51	0.46	0.28	0.5	0	0.48	0.22	CYT
R141_YEAST	0.57	0.41	0.59	0.24	0.5	0	0.4	0.22	CYT
CHI1_YEAST	0.82	0.78	0.49	0.23	0.5	0	0.46	0.22	EXC
RL2A_YEAST	0.45	0.27	0.57	0.36	0.5	0	0.52	0.18	CYT
DA82_YEAST	0.56	0.43	0.54	0.16	0.5	0	0.5	0.22	NUC
DYHC_YEAST	0.6	0.56	0.47	0.2	0.5	0	0.5	0.38	NUC
DSS4_YEAST	0.56	0.52	0.55	0.19	0.5	0	0.54	0.22	CYT
ENO1_YEAST	0.45	0.56	0.54	0.32	0.5	0	0.57	0.22	CYT
FPPS_YEAST	0.55	0.56	0.45	0.14	0.5	0	0.54	0.22	CYT
EST1_YEAST	0.35	0.6	0.47	0.13	0.5	0	0.52	0.43	NUC
F26_YEAST	0.71	0.59	0.53	0.15	0.5	0	0.49	0.33	CYT
FKB3_YEAST	0.54	0.57	0.52	0.19	0.5	0	0.59	0.67	NUC
FUS1_YEAST	0.84	0.66	0.36	0.78	0.5	0	0.49	0.5	ME1
GAL8_YEAST	0.6	0.6	0.49	0.3	0.5	0	0.53	0.22	NUC
GCN1_YEAST	0.41	0.52	0.41	0.11	0.5	0	0.54	0.35	CYT
GDA1_YEAST	0.91	0.69	0.57	0.45	0.5	0	0.56	0.22	ME2
GLN3_YEAST	0.43	0.54	0.58	0.16	0.5	0	0.5	0.36	NUC
PHO2_YEAST	0.4	0.34	0.52	0.17	0.5	0	0.47	0.51	NUC
HAP2_YEAST	0.47	0.49	0.63	0.17	0.5	0	0.31	0.26	NUC
HEM2_YEAST	0.53	0.43	0.47	0.15	0.5	0	0.58	0.22	CYT
HIS7_YEAST	0.56	0.44	0.56	0.19	0.5	0	0.54	0.22	CYT
HXTY_YEAST	0.33	0.28	0.31	0.24	0.5	0	0.53	0.22	ME3
HSP7_YEAST	0.38	0.46	0.52	0.75	0.5	0	0.5	0.26	MIT
HXT2_YEAST	0.49	0.4	0.34	0.26	0.5	0	0.5	0.22	ME3
IPPI_YEAST	0.51	0.43	0.63	0.18	0.5	0	0.52	0.22	CYT
IATP_YEAST	0.47	0.63	0.66	0.45	0.5	0	0.37	0.11	MIT
ITR1_YEAST	0.49	0.41	0.32	0.21	0.5	0	0.5	0.32	ME3
YJ51_YEAST	0.81	0.76	0.32	0.37	0.5	0	0.51	0.22	ME2
ODO1_YEAST	0.54	0.51	0.54	0.52	0.5	0	0.47	0.25	MIT
KRE1_YEAST	0.84	0.87	0.45	0.54	0.5	0	0.28	0.22	ME1
KTR3_YEAST	0.58	0.76	0.4	0.37	0.5	0	0.54	0.3	ME2
LEU2_YEAST	0.51	0.43	0.47	0.19	0.5	0	0.52	0.37	CYT
LY14_YEAST	0.44	0.53	0.43	0.17	0.5	0	0.54	0.75	NUC
MA3R_YEAST	0.33	0.37	0.54	0.28	0.5	0	0.53	0.27	NUC
MCM1_YEAST	0.18	0.48	0.46	0.12	0.5	0	0	0.25	NUC
MD10_YEAST	0.32	0.47	0.55	0.25	0.5	0	0.49	0.22	MIT
MET2_YEAST	0.4	0.47	0.48	0.18	0.5	0	0.46	0.22	CYT
M101_YEAST	0.5	0.49	0.59	0.47	0.5	0	0.49	0.36	MIT
MNN1_YEAST	0.66	0.66	0.32	0.54	0.5	0	0.51	0.22	ME2
RT13_YEAST	0.51	0.42	0.56	0.38	0.5	0	0.46	0.22	MIT
RM20_YEAST	0.41	0.52	0.53	0.41	0.5	0	0.39	0.33	MIT
RM44_YEAST	0.53	0.52	0.61	0.35	0.5	0	0.5	0.22	MIT
MRS4_YEAST	0.4	0.74	0.49	0.16	0.5	0	0.51	0.22	MIT
MSN1_YEAST	0.52	0.38	0.62	0.12	0.5	0	0.41	0.28	NUC
SYWM_YEAST	0.44	0.53	0.53	0.37	0.5	0	0.51	0.22	MIT
YN70_YEAST	0.51	0.65	0.53	0.19	0.5	0	0.49	0.22	EXC
NAP1_YEAST	0.36	0.39	0.55	0.26	0.5	0	0.49	0.22	NUC
NHPA_YEAST	0.39	0.34	0.68	0.3	0.5	0	0.5	0.29	NUC
NOT3_YEAST	0.45	0.21	0.49	0.24	0.5	0	0.46	0.31	NUC
N100_YEAST	0.9	0.54	0.59	0.2	0.5	0	0.48	0.22	NUC
PORI_YEAST	0.41	0.49	0.58	0.22	0.5	0	0.52	0.22	MIT
PAP_YEAST	0.64	0.52	0.5	0.26	0.5	0	0.51	0.31	NUC
DCP1_YEAST	0.49	0.45	0.53	0.16	0.5	0	0.49	0.31	CYT
PDS1_YEAST	0.37	0.42	0.6	0.13	0.5	0	0.51	0.22	NUC
PT12_YEAST	0.45	0.53	0.47	0.43	0.5	0	0.5	0.27	MIT
K6P2_YEAST	0.62	0.43	0.49	0.29	0.5	0	0.5	0.27	CYT
PPAC_YEAST	0.74	0.72	0.5	0.28	0.5	0	0.49	0.27	EXC
PHR_YEAST	0.5	0.42	0.57	0.49	0.5	0	0.48	0.27	NUC
ATH2_YEAST	0.27	0.56	0.3	0.14	0.5	0	0.52	0.39	ME3
POB1_YEAST	0.49	0.48	0.52	0.2	0.5	0	0.55	0.22	NUC
PPA1_YEAST	0.66	0.55	0.34	0.2	0.5	0	0.62	0.22	ME3
PRCD_YEAST	0.53	0.59	0.48	0.14	0.5	0	0.51	0.22	CYT
PR19_YEAST	0.48	0.41	0.54	0.39	0.5	0	0.51	0.22	NUC
PR08_YEAST	0.4	0.28	0.48	0.06	0.5	0	0.49	0.42	NUC
PTP1_YEAST	0.53	0.45	0.53	0.18	0.5	0	0.42	0.22	CYT
PYC1_YEAST	0.46	0.43	0.5	0.24	0.5	0	0.48	0.31	CYT
RA10_YEAST	0.61	0.39	0.53	0.14	0.5	0	0.43	0.26	NUC
RA50_YEAST	0.45	0.54	0.49	0.29	0.5	0	0.49	0.25	NUC
RAM1_YEAST	0.59	0.47	0.51	0.53	0.5	0	0.53	0.26	CYT
R114_YEAST	0.44	0.45	0.53	0.19	0.5	0	0.41	0.28	NUC
RFT1_YEAST	0.4	0.66	0.34	0.21	0.5	0	0.52	0.26	NUC
RN12_YEAST	0.56	0.51	0.32	0.49	0.5	0	0.48	0.22	NUC
RS24_YEAST	0.61	0.38	0.57	0.36	0.5	0	0.44	0.21	CYT
RPBY_YEAST	0.48	0.45	0.63	0.19	0.5	0	0.58	0.22	NUC
RPC2_YEAST	0.46	0.53	0.47	0.37	0.5	0	0.51	0.36	NUC
RL15_YEAST	0.46	0.35	0.69	0.18	0.5	0	0.3	0.25	CYT
RL17_YEAST	0.37	0.44	0.64	0.48	0.5	0	0.36	0.27	CYT
RL34_YEAST	0.38	0.43	0.53	0.22	0.5	0	0.48	0.11	CYT
RL6_YEAST	0.54	0.44	0.55	0.48	0.5	0	0.47	0.22	CYT
RPC1_YEAST	0.56	0.61	0.52	0.19	0.5	0	0.52	0.32	NUC
RS21_YEAST	0.42	0.5	0.64	0.13	0.5	0	0.49	0.22	CYT
RS37_YEAST	0.41	0.49	0.65	0.28	0.5	0	0.59	0.57	CYT
RSD1_YEAST	0.57	0.5	0.4	0.08	0.5	0	0.47	0.22	ME3
S160_YEAST	0.46	0.49	0.55	0.18	0.5	0	0.56	0.22	NUC
SC14_YEAST	0.38	0.4	0.53	0.12	0.5	0	0.55	0.22	CYT
PMM_YEAST	0.54	0.51	0.56	0.15	0.5	0	0.54	0.31	CYT
SEC8_YEAST	0.48	0.51	0.5	0.24	0.5	0	0.54	0.38	CYT
SFP1_YEAST	0.54	0.59	0.57	0.34	0.5	0	0.49	0.22	NUC
SIN4_YEAST	0.45	0.65	0.51	0.17	0.5	0	0.49	0.22	NUC
SKN7_YEAST	0.46	0.56	0.56	0.25	0.5	0	0.43	0.22	NUC
SMC2_YEAST	0.4	0.75	0.44	0.12	0.5	0	0.49	0.22	NUC
SNF3_YEAST	0.37	0.4	0.38	0.18	0.5	0	0.51	0.22	ME3
SOF1_YEAST	0.36	0.32	0.55	0.27	0.5	0	0.47	0.43	NUC
SS10_YEAST	0.77	0.73	0.49	0.46	0.5	0	0.38	0.22	EXC
SPT4_YEAST	0.73	0.52	0.59	0.25	0.5	0	0.51	0.22	NUC
SRD1_YEAST	0.53	0.25	0.59	0.27	0.5	0	0.45	0.26	NUC
HS72_YEAST	0.51	0.48	0.51	0.19	0.5	0	0.51	0.27	CYT
SSO1_YEAST	0.41	0.42	0.23	0.16	0.5	0	0.4	0.22	ME3
STE2_YEAST	0.49	0.55	0.41	0.19	0.5	0	0.48	0.31	ME3
STP1_YEAST	0.48	0.54	0.56	0.29	0.5	0	0.51	0.43	NUC
IF2B_YEAST	0.41	0.35	0.6	0.22	0.5	0	0.56	0.79	CYT
SWI5_YEAST	0.41	0.39	0.61	0.17	0.5	0	0.5	0.61	NUC
TCPB_YEAST	0.5	0.45	0.52	0.18	0.5	0	0.52	0.22	CYT
EF1A_YEAST	0.63	0.43	0.48	0.11	0.5	0	0.51	0.22	CYT
DKA1_YEAST	0.42	0.5	0.59	0.17	0.5	0	0.51	0.22	CYT
IF52_YEAST	0.44	0.54	0.51	0.16	0.5	0	0.58	0.22	CYT
TOA2_YEAST	0.52	0.49	0.59	0.21	0.5	0	0.47	0.22	NUC
TPM2_YEAST	0.39	0.45	0.75	0.17	0.5	0	0.51	0.22	CYT
TRPG_YEAST	0.57	0.36	0.51	0.25	0.5	0	0.54	0.25	CYT
TBA3_YEAST	0.59	0.46	0.55	0.17	0.5	0	0.52	0.25	CYT
UBC7_YEAST	0.5	0.44	0.57	0.28	0.5	0	0.57	0.22	CYT
UNG_YEAST	0.53	0.44	0.54	0.52	0.5	0	0.49	0.38	NUC
SYV_YEAST	0.51	0.49	0.48	0.55	0.5	0	0.52	0.58	CYT
VPH1_YEAST	0.57	0.54	0.32	0.15	0.5	0	0.52	0.25	VAC
VRP1_YEAST	0.5	0.4	0.57	0.17	0.5	0	0.59	0.22	CYT
YAF3_YEAST	0.77	0.78	0.27	0.37	0.5	0	0.49	0.22	ME1
FMT_YEAST	0.59	0.56	0.5	0.48	0.5	0	0.46	0.22	MIT
YB30_YEAST	0.43	0.41	0.37	0.18	0.5	0	0.54	0.31	ME3
YB8I_YEAST	0.77	0.7	0.37	0.12	0.5	0	0.49	0.26	ME1
YCR3_YEAST	0.69	0.57	0.39	0.19	0.5	0	0.48	0.39	ME2
YD66_YEAST	0.52	0.65	0.36	0.26	0.5	0	0.44	0.22	ME3
YHB7_YEAST	0.83	0.94	0.32	0.21	0.5	0	0.51	0.22	ME1
YHK8_YEAST	0.49	0.56	0.37	0.2	0.5	0	0.53	0.22	ME3
YHY1_YEAST	0.77	0.68	0.35	0.19	0.5	0	0.53	0.43	ME1
YKA8_YEAST	0.3	0.37	0.4	0.45	0.5	0	0.48	0.41	ME3
YKW2_YEAST	0.41	0.47	0.5	0.14	0.5	0	0.53	0.37	NUC
YPT1_YEAST	0.6	0.61	0.54	0.11	0.5	0	0.46	0.22	CYT
G6PD_YEAST	0.65	0.54	0.54	0.13	0.5	0	0.53	0.22	CYT
AATM_YEAST	0.42	0.44	0.48	0.54	0.5	0	0.48	0.22	MIT
ACR1_YEAST	0.66	0.55	0.45	0.19	0.5	0	0.46	0.22	MIT
ADH2_YEAST	0.46	0.53	0.52	0.15	0.5	0	0.58	0.22	CYT
AGA1_YEAST	0.78	0.74	0.42	0.26	0.5	0	0.43	0.22	ME1
MAN1_YEAST	0.37	0.36	0.56	0.18	0.5	0	0.48	0.26	VAC
ARF1_YEAST	0.64	0.59	0.56	0.23	0.5	0	0.46	0.22	CYT
ARO1_YEAST	0.54	0.48	0.44	0.08	0.5	0	0.52	0.27	CYT
ATPY_YEAST	0.46	0.49	0.58	0.23	0.5	0	0.44	0.22	MIT
ATP8_YEAST	0.67	0.62	0.4	0.43	0.5	0.83	0.5	0.22	MIT
BEM1_YEAST	0.49	0.61	0.49	0.25	0.5	0	0.5	0.28	CYT
CAP2_YEAST	0.47	0.39	0.55	0.24	0.5	0	0.47	0.22	CYT
CBF5_YEAST	0.45	0.51	0.5	0.16	0.5	0	0.52	1	NUC
ATU1_YEAST	0.54	0.55	0.34	0.31	0.5	0	0.54	0.22	ME3
CC23_YEAST	0.35	0.58	0.54	0.16	0.5	0	0.51	0.22	NUC
CC4_YEAST	0.43	0.57	0.53	0.16	0.5	0	0.54	0.22	CYT
CC68_YEAST	0.36	0.68	0.46	0.16	0.5	0	0.53	0.28	NUC
CHL4_YEAST	0.57	0.51	0.53	0.18	0.5	0	0.56	0.25	NUC
CISY_YEAST	0.38	0.68	0.44	0.45	0.5	0	0.53	0.22	MIT
CALM_YEAST	0.48	0.64	0.61	0.23	0.5	0	0.6	0.22	CYT
COQ2_YEAST	0.63	0.56	0.45	0.58	0.5	0	0.51	0.22	MIT
COX2_YEAST	0.59	0.61	0.34	0.22	0.5	0	0.51	0.22	MIT
CARB_YEAST	0.35	0.66	0.49	0.21	0.5	0	0.54	0.25	CYT
R142_YEAST	0.56	0.41	0.58	0.21	0.5	0	0.42	0.22	CYT
CHI2_YEAST	0.82	0.75	0.54	0.23	0.5	0	0.46	0.22	EXC
CYAA_YEAST	0.2	0.26	0.52	0.14	0.5	0	0.53	0.44	CYT
DAP2_YEAST	0.36	0.68	0.38	0.08	0.5	0	0.53	0.25	VAC
DHH1_YEAST	0.41	0.24	0.54	0.26	0.5	0	0.41	0.22	NUC
TFS2_YEAST	0.61	0.3	0.59	0.12	0.5	0	0.49	0.27	NUC
ENO2_YEAST	0.45	0.56	0.53	0.32	0.5	0	0.57	0.22	CYT
ER24_YEAST	0.63	0.61	0.41	0.22	0.5	0	0.51	0.22	ME3
EUG1_YEAST	0.77	0.8	0.51	0.4	1	0	0.54	0.22	ERL
FCY2_YEAST	0.46	0.35	0.33	0.17	0.5	0	0.55	0.22	ME3
FPS1_YEAST	0.42	0.52	0.4	0.17	0.5	0	0.5	0.26	ME3
FUS3_YEAST	0.51	0.58	0.54	0.29	0.5	0	0.53	0.22	CYT
GAP1_YEAST	0.49	0.46	0.34	0.21	0.5	0	0.55	0.22	ME3
GCN2_YEAST	0.37	0.33	0.5	0.12	0.5	0	0.51	0.54	CYT
DHE4_YEAST	0.38	0.47	0.53	0.12	0.5	0	0.48	0.22	CYT
SYQ_YEAST	0.49	0.42	0.54	0.17	0.5	0	0.5	0.36	CYT
SYG_YEAST	0.4	0.48	0.5	0.17	0.5	0	0.54	0.5	CYT
HAP3_YEAST	0.28	0.51	0.55	0.11	0.5	0	0.46	0.22	NUC
HEM3_YEAST	0.46	0.45	0.56	0.16	0.5	0	0.56	0.22	CYT
HMD1_YEAST	0.51	0.63	0.3	0.35	0.5	0	0.53	0.27	ME3
YJ64_YEAST	0.85	0.85	0.3	0.31	0.5	0	0.55	0.42	ME1
HS82_YEAST	0.61	0.54	0.49	0.19	0.5	0	0.54	0.47	CYT
HXT3_YEAST	0.34	0.4	0.3	0.23	0.5	0	0.51	0.22	ME3
IDHP_YEAST	0.51	0.52	0.48	0.5	0.5	0	0.51	0.22	MIT
INO1_YEAST	0.51	0.34	0.43	0.18	0.5	0	0.48	0.25	CYT
ITR2_YEAST	0.35	0.53	0.35	0.33	0.5	0	0.5	0.32	ME3
YJ90_YEAST	0.65	0.61	0.39	0.3	0.5	0	0.57	0.28	ME3
ODO2_YEAST	0.53	0.5	0.54	0.56	0.5	0	0.49	0.41	MIT
KR11_YEAST	0.27	0.56	0.56	0.18	0.5	0	0.52	0.22	CYT
KTR4_YEAST	0.94	0.6	0.33	0.49	0.5	0	0.54	0.22	ME2
LEU3_YEAST	0.54	0.54	0.49	0.14	0.5	0	0.56	0.22	CYT
LYS2_YEAST	0.46	0.47	0.46	0.16	0.5	0	0.51	0.22	CYT
MA6T_YEAST	0.39	0.37	0.33	0.23	0.5	0	0.52	0.26	ME3
MCM2_YEAST	0.26	0.38	0.52	0.36	0.5	0	0.48	0.56	NUC
MDS1_YEAST	0.46	0.57	0.52	0.28	0.5	0	0.52	0.22	NUC
MT17_YEAST	0.34	0.54	0.54	0.13	0.5	0	0.52	0.22	CYT
MGMT_YEAST	0.54	0.52	0.54	0.2	0.5	0	0.55	0.25	NUC
MNN9_YEAST	0.74	0.56	0.35	0.36	0.5	0	0.51	0.25	ME2
RT17_YEAST	0.41	0.54	0.58	0.2	0.5	0	0.52	0.22	MIT
RM25_YEAST	0.45	0.43	0.63	0.4	0.5	0	0.59	0.11	MIT
RM06_YEAST	0.62	0.59	0.54	0.47	0.5	0	0.46	0.22	MIT
MSB2_YEAST	0.76	0.76	0.35	0.27	0.5	0	0.44	0.22	ME1
MSN2_YEAST	0.53	0.4	0.57	0.12	0.5	0	0.53	0.32	NUC
MTD1_YEAST	0.57	0.4	0.48	0.24	0.5	0	0.55	0.22	CYT
YN94_YEAST	0.81	0.79	0.32	0.37	0.5	0	0.41	0.22	ME1
NAT1_YEAST	0.5	0.36	0.53	0.41	0.5	0	0.55	0.36	CYT
NHPB_YEAST	0.11	0.41	0.67	0.13	0.5	0	0.45	0.29	NUC
NOP3_YEAST	0.44	0.34	0.61	0.13	0.5	0	0.49	0.26	NUC
N116_YEAST	0.88	0.59	0.54	0.39	0.5	0	0.41	0.3	NUC
OPI1_YEAST	0.58	0.51	0.56	0.16	0.5	0	0.34	0.22	NUC
PAS1_YEAST	0.56	0.48	0.5	0.3	0.5	0	0.51	0.22	CYT
PDC2_YEAST	0.51	0.46	0.57	0.25	0.5	0	0.53	0.22	CYT
ODPX_YEAST	0.45	0.58	0.59	0.44	0.5	0	0.56	0.22	MIT
PT17_YEAST	0.75	0.6	0.43	0.35	0.5	0	0.45	0.27	MIT
6P2K_YEAST	0.45	0.41	0.49	0.14	1	0	0.53	0.3	CYT
PNPP_YEAST	0.38	0.62	0.52	0.14	0.5	0	0.53	0.22	CYT
PIF1_YEAST	0.59	0.61	0.51	0.62	0.5	0	0.51	0.38	MIT
ATC3_YEAST	0.4	0.39	0.33	0.17	0.5	0	0.51	0.31	VAC
DPOA_YEAST	0.36	0.39	0.54	0.16	0.5	0	0.5	0.28	NUC
IPY2_YEAST	0.42	0.65	0.58	0.34	0.5	0	0.5	0.22	MIT
PRCH_YEAST	0.42	0.53	0.57	0.17	0.5	0	0.49	0.22	CYT
PR02_YEAST	0.3	0.3	0.46	0.32	0.5	0	0.45	0.22	NUC
PR09_YEAST	0.51	0.39	0.56	0.25	0.5	0	0.51	0.33	NUC
PTP2_YEAST	0.45	0.27	0.5	0.33	0.5	0	0.53	0.26	CYT
