Sequence Name	mcg	gvh	alm	mit	erl	pox	vac	nuc	class
ERG1_YEAST	0.58	0.6	0.43	0.12	0.5	0	0.55	0.22	ME3
ERG7_YEAST	0.34	0.38	0.45	0.19	0.5	0	0.51	0.22	ME2
FAS1_YEAST	0.57	0.61	0.45	0.26	0.5	0	0.5	0.22	CYT
FLO1_YEAST	0.81	0.82	0.41	0.36	0.5	0	0.39	0.22	EXC
SYFB_YEAST	0.47	0.47	0.58	0.16	0.5	0	0.49	0.28	CYT
GALX_YEAST	0.62	0.58	0.52	0.15	0.5	0	0.52	0.29	CYT
E2BG_YEAST	0.45	0.42	0.52	0.2	0.5	0	0.5	0.25	CYT
GCR1_YEAST	0.27	0.51	0.47	0.35	0.5	0	0.49	0.28	NUC
GFA1_YEAST	0.52	0.51	0.51	0.12	0.5	0	0.51	0.4	CYT
GOG5_YEAST	0.69	0.48	0.38	0.15	0.5	0	0.55	0.22	ME2
UGS2_YEAST	0.58	0.41	0.51	0.26	0.5	0	0.51	0.37	CYT
HDF1_YEAST	0.43	0.42	0.54	0.22	0.5	0	0.57	0.33	NUC
H3_YEAST	0.39	0.39	0.55	0.52	0.5	0	0.37	0.16	NUC
MTA1_YEAST	0.49	0.37	0.59	0.17	0.5	0	0.51	0.22	NUC
CH10_YEAST	0.55	0.53	0.56	0.29	0.5	0	0.48	0.22	MIT
H2B2_YEAST	0.34	0.34	0.61	0.18	0.5	0	0.52	0.32	NUC
HXT7_YEAST	0.45	0.57	0.3	0.17	0.5	0	0.51	0.22	ME3
ILVB_YEAST	0.45	0.59	0.53	0.74	0.5	0	0.47	0.25	MIT
IRA1_YEAST	0.47	0.59	0.43	0.13	0.5	0	0.56	0.3	ME3
YJ16_YEAST	0.5	0.45	0.49	0.3	0.5	0	0.47	0.4	NUC
GR78_YEAST	0.85	0.56	0.33	0.38	1	0	0.55	0.25	ERL
KIN2_YEAST	0.36	0.35	0.47	0.22	0.5	0	0.44	0.31	ME3
KRE9_YEAST	0.87	0.83	0.57	0.36	0.5	0	0.36	0.22	EXC
AMPL_YEAST	0.42	0.32	0.48	0.16	0.5	0	0.55	0.22	VAC
LIP5_YEAST	0.68	0.5	0.55	0.65	0.5	0	0.46	0.31	MIT
MK11_YEAST	0.78	0.48	0.47	0.3	0.5	0	0.53	0.47	ME2
MPP1_YEAST	0.47	0.54	0.54	0.48	0.5	0	0.53	0.26	MIT
MDHP_YEAST	0.68	0.58	0.51	0.19	0.5	0.83	0.54	0.22	POX
AGAL_YEAST	0.68	0.68	0.49	0.15	0.5	0	0.53	0.22	EXC
MFA2_YEAST	0.46	0.42	0.6	0.21	0.5	0	0.4	0.22	EXC
MPCP_YEAST	0.6	0.59	0.45	0.23	0.5	0	0.55	0.22	MIT
MPI1_YEAST	0.4	0.68	0.5	0.82	0.5	0	0.44	0.36	MIT
RM49_YEAST	0.5	0.46	0.64	0.36	0.5	0	0.49	0.22	MIT
RM33_YEAST	0.57	0.58	0.58	0.35	0.5	0	0.49	0.22	MIT
RT05_YEAST	0.38	0.54	0.54	0.41	0.5	0	0.51	0.22	MIT
MSH2_YEAST	0.32	0.45	0.44	0.2	0.5	0	0.55	0.33	NUC
MSS1_YEAST	0.58	0.57	0.54	0.69	0.5	0	0.54	0.22	MIT
MYS1_YEAST	0.58	0.38	0.4	0.21	0.5	0	0.5	0.22	CYT
NAB3_YEAST	0.42	0.28	0.57	0.18	0.5	0	0.42	0.22	NUC
CB31_YEAST	0.48	0.62	0.52	0.3	0.5	0	0.51	0.37	NUC
NMD2_YEAST	0.36	0.3	0.5	0.19	0.5	0	0.55	0.3	NUC
NUC1_YEAST	0.75	0.67	0.51	0.29	0.5	0	0.52	0.36	MIT
OCH1_YEAST	0.83	0.57	0.42	0.57	0.5	0	0.5	0.32	ME2
YM38_YEAST	0.39	0.28	0.54	0.14	0.5	0	0.59	0.22	MIT
PAS7_YEAST	0.5	0.51	0.57	0.27	0.5	0	0.48	0.22	POX
CNA2_YEAST	0.39	0.58	0.5	0.1	0.5	0	0.51	0.25	CYT
CARP_YEAST	0.8	0.82	0.57	0.26	0.5	0	0.57	0.27	VAC
PT91_YEAST	0.59	0.45	0.58	0.21	0.5	0	0.49	0.22	MIT
PGK_YEAST	0.48	0.42	0.48	0.19	0.5	0	0.58	0.22	CYT
PPB_YEAST	0.39	0.81	0.35	0.28	0.5	0	0.51	0.45	ME3
H150_YEAST	0.74	0.71	0.52	0.3	0.5	0	0.27	0.22	EXC
ATC1_YEAST	0.44	0.43	0.34	0.21	0.5	0	0.55	0.4	ME3
PCNA_YEAST	0.49	0.71	0.54	0.13	0.5	0	0.58	0.22	NUC
PRTB_YEAST	0.75	0.69	0.48	0.13	0.5	0	0.57	0.4	VAC
PRI2_YEAST	0.45	0.48	0.56	0.56	0.5	0	0.47	0.22	NUC
PR38_YEAST	0.52	0.37	0.48	0.13	0.5	0	0.55	0.22	NUC
PRC9_YEAST	0.48	0.56	0.49	0.32	0.5	0	0.5	0.22	CYT
PRCZ_YEAST	0.48	0.48	0.56	0.18	0.5	0	0.58	0.22	CYT
UCR6_YEAST	0.64	0.53	0.59	0.14	0.5	0	0.53	0.22	MIT
RA23_YEAST	0.43	0.48	0.53	0.18	0.5	0	0.46	0.22	NUC
RA57_YEAST	0.41	0.52	0.56	0.26	0.5	0	0.48	0.32	NUC
RAT1_YEAST	0.53	0.46	0.54	0.37	0.5	0	0.51	0.3	NUC
RFA2_YEAST	0.46	0.41	0.58	0.1	0.5	0	0.48	0.22	NUC
RIM1_YEAST	0.55	0.38	0.64	0.42	0.5	0	0.47	0.22	MIT
RS3A_YEAST	0.38	0.4	0.59	0.25	0.5	0	0.44	0.22	CYT
RPA9_YEAST	0.72	0.51	0.52	0.08	0.5	0	0.54	0.22	NUC
RPB6_YEAST	0.27	0.31	0.55	0.13	0.5	0	0.5	0.22	NUC
RPC4_YEAST	0.36	0.49	0.55	0.21	0.5	0	0.55	0.33	NUC
RL16_YEAST	0.61	0.53	0.59	0.17	0.5	0	0.44	0.28	CYT
RL2_YEAST	0.63	0.64	0.45	0.26	0.5	0	0.43	0.22	CYT
RL46_YEAST	0.43	0.22	0.79	0.79	0.5	0	0.22	0	CYT
RLA2_YEAST	0.69	0.54	0.55	0.23	0.5	0	0.73	0.22	CYT
RS41_YEAST	0.32	0.44	0.54	0.21	0.5	0	0.4	0.19	CYT
RS28_YEAST	0.38	0.5	0.52	0.44	0.5	0	0.54	0.11	CYT
RRN6_YEAST	0.6	0.57	0.52	0.14	0.5	0	0.46	0.48	NUC
SC25_YEAST	0.5	0.48	0.48	0.23	0.5	0	0.53	0.68	CYT
SDHL_YEAST	0.46	0.42	0.51	0.16	0.5	0	0.56	0.22	CYT
SC20_YEAST	0.46	0.47	0.44	0.18	1	0	0.46	0.22	ME2
NPL1_YEAST	0.65	0.66	0.37	0.12	0.5	0	0.52	0.27	ME3
SED5_YEAST	0.42	0.28	0.33	0.23	0.5	0	0.39	0.26	ME3
GLYC_YEAST	0.53	0.49	0.47	0.21	0.5	0	0.53	0.22	CYT
SIR4_YEAST	0.33	0.42	0.55	0.23	0.5	0	0.52	0.43	NUC
SLN1_YEAST	0.52	0.65	0.36	0.37	0.5	0	0.52	0.34	ME3
SMY2_YEAST	0.6	0.64	0.56	0.36	0.5	0	0.46	0.27	CYT
SNP2_YEAST	0.51	0.5	0.54	0.11	0.5	0	0.6	0.22	NUC
SPA2_YEAST	0.5	0.45	0.51	0.19	0.5	0	0.53	0.25	CYT
TF2D_YEAST	0.37	0.29	0.45	0.15	0.5	0	0.49	0.22	NUC
SRB2_YEAST	0.49	0.48	0.51	0.21	0.5	0	0.53	0.22	NUC
SR54_YEAST	0.5	0.52	0.51	0.22	0.5	0	0.46	0.37	CYT
SSB1_YEAST	0.44	0.39	0.63	0.11	0.5	0	0.49	0.26	NUC
AMYH_YEAST	0.83	0.81	0.45	0.38	0.5	0	0.4	0.26	EXC
STE6_YEAST	0.46	0.61	0.38	0.35	0.5	0	0.49	0.22	ME3
INV2_YEAST	0.74	0.82	0.46	0.24	0.5	0	0.48	0.22	EXC
RS11_YEAST	0.38	0.34	0.55	0.44	0.5	0	0.48	0.26	CYT
VAL1_YEAST	0.31	0.4	0.31	0.17	0.5	0	0.52	0.22	ME3
G3P2_YEAST	0.57	0.35	0.5	0.43	0.5	0	0.53	0.22	CYT
TFB1_YEAST	0.63	0.58	0.57	0.1	0.5	0	0.52	0.33	NUC
IF4A_YEAST	0.38	0.42	0.5	0.19	0.5	0	0.44	0.22	CYT
SRP2_YEAST	0.8	0.83	0.43	0.24	0.5	0	0.54	0.22	ME1
TPIS_YEAST	0.44	0.49	0.49	0.27	0.5	0	0.52	0.22	CYT
TRK2_YEAST	0.59	0.48	0.41	0.53	0.5	0	0.48	0.56	ME3
TSM1_YEAST	0.5	0.5	0.48	0.34	0.5	0	0.52	0.27	NUC
UBA1_YEAST	0.52	0.51	0.48	0.12	0.5	0	0.54	0.31	CYT
UBR1_YEAST	0.42	0.46	0.44	0.17	0.5	0	0.51	0.42	CYT
RSU2_YEAST	0.54	0.35	0.55	0.19	0.5	0	0.3	0.22	CYT
VATE_YEAST	0.6	0.37	0.52	0.15	0.5	0	0.55	0.26	VAC
VP17_YEAST	0.25	0.4	0.54	0.16	0.5	0	0.43	0.22	CYT
YAB8_YEAST	0.69	0.66	0.36	0.09	0.5	0	0.56	0.22	ME1
AP19_YEAST	0.5	0.47	0.56	0.31	0.5	0	0.56	0.26	CYT
RL3P_YEAST	0.24	0.25	0.57	0.28	0.5	0	0.51	0.11	CYT
YB54_YEAST	0.4	0.4	0.43	0.19	0.5	0.83	0.48	0.22	POX
YCD8_YEAST	0.3	0.68	0.41	0.17	0.5	0	0.51	0.22	ME3
YCV1_YEAST	0.75	0.73	0.35	0.33	0.5	0	0.49	0.28	ME1
YE14_YEAST	0.4	0.4	0.44	0.37	0.5	0	0.53	0.25	NUC
YHF0_YEAST	0.5	0.63	0.45	0.13	0.5	0	0.45	0.32	ME3
YHT3_YEAST	0.49	0.55	0.35	0.23	0.5	0	0.57	0.22	ME3
YIN0_YEAST	0.35	0.29	0.46	0.14	0.5	0	0.54	0.66	NUC
PMT_YEAST	0.5	0.61	0.44	0.2	0.5	0	0.49	0.22	MIT
YMC1_YEAST	0.39	0.58	0.47	0.18	0.5	0	0.48	0.22	MIT
R29B_YEAST	0.38	0.4	0.66	0.35	0.5	0	0.43	0.11	CYT
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABP1_YEAST	0.4	0.39	0.6	0.15	0.5	0	0.58	0.3	CYT
ADA2_YEAST	0.61	0.6	0.55	0.21	0.5	0	0.5	0.25	NUC
ADP1_YEAST	0.8	0.88	0.36	0.39	0.5	0	0.56	0.33	ME1
DHA2_YEAST	0.57	0.53	0.53	0.34	0.5	0	0.53	0.22	MIT
ALP1_YEAST	0.42	0.24	0.34	0.16	0.5	0	0.5	0.22	ME3
AR56_YEAST	0.45	0.58	0.48	0.67	0.5	0	0.52	0.22	MIT
ASG2_YEAST	0.81	0.85	0.47	0.37	0.5	0	0.56	0.22	EXC
ATPB_YEAST	0.43	0.57	0.51	0.49	0.5	0	0.48	0.22	MIT
BCK1_YEAST	0.42	0.47	0.52	0.41	0.5	0	0.53	0.32	CYT
BIK1_YEAST	0.64	0.57	0.57	0.27	0.5	0	0.37	0.22	CYT
OAT_YEAST	0.27	0.6	0.48	0.23	0.5	0	0.55	0.22	CYT
CBP6_YEAST	0.47	0.41	0.66	0.26	0.5	0	0.53	0.22	MIT
CTPT_YEAST	0.41	0.4	0.59	0.47	0.5	0	0.48	0.43	CYT
CC31_YEAST	0.47	0.32	0.64	0.3	0.5	0	0.63	0.22	NUC
CC46_YEAST	0.51	0.34	0.5	0.19	0.5	0	0.5	0.22	NUC
CEM1_YEAST	0.71	0.59	0.48	0.43	0.5	0	0.59	0.22	MIT
CHS3_YEAST	0.26	0.44	0.3	0.11	0.5	0	0.51	0.47	ME3
KICH_YEAST	0.39	0.4	0.53	0.67	0.5	0	0.47	0.22	CYT
CALB_YEAST	0.37	0.42	0.51	0.11	0.5	0	0.57	0.22	CYT
COXX_YEAST	0.46	0.43	0.38	0.33	0.5	0	0.48	0.28	MIT
COX6_YEAST	0.5	0.4	0.56	0.7	0.5	0	0.5	0.22	MIT
CYPD_YEAST	0.78	0.74	0.58	0.25	1	0	0.53	0.22	ERL
CATA_YEAST	0.37	0.53	0.6	0.19	0.5	0.5	0.42	0.22	POX
CYC1_YEAST	0.46	0.54	0.71	0.15	0.5	0	0.59	0.22	MIT
DAL5_YEAST	0.34	0.42	0.3	0.23	0.5	0	0.53	0.22	ME3
DBR1_YEAST	0.55	0.54	0.56	0.22	0.5	0	0.5	0.37	NUC
DPM1_YEAST	0.54	0.42	0.41	0.16	0.5	0	0.52	0.22	ME2
EGD1_YEAST	0.35	0.39	0.57	0.11	0.5	0	0.48	0.22	NUC
THIL_YEAST	0.54	0.65	0.49	0.34	0.5	0	0.52	0.22	CYT
ERG8_YEAST	0.62	0.58	0.46	0.13	0.5	0	0.53	0.22	CYT
FAS2_YEAST	0.63	0.62	0.42	0.12	0.5	0	0.52	0.25	CYT
FOX2_YEAST	0.69	0.6	0.51	0.13	0.5	0.83	0.52	0.22	POX
FUMH_YEAST	0.41	0.39	0.51	0.52	0.5	0	0.49	0.22	CYT
GALY_YEAST	0.56	0.59	0.53	0.16	0.5	0	0.24	0.42	NUC
IF2G_YEAST	0.51	0.35	0.46	0.15	0.5	0	0.51	0.42	CYT
GCR2_YEAST	0.54	0.56	0.57	0.18	0.5	0	0.45	0.25	NUC
GLGB_YEAST	0.49	0.43	0.48	0.15	0.5	0	0.55	0.25	CYT
GBA1_YEAST	0.3	0.5	0.47	0.11	0.5	0	0.46	0.22	CYT
GTS1_YEAST	0.41	0.6	0.53	0.29	0.5	0	0.47	0.43	NUC
HEM1_YEAST	0.57	0.59	0.5	0.58	0.5	0	0.53	0.22	MIT
H3_YEAST	0.39	0.39	0.55	0.52	0.5	0	0.37	0.16	NUC
MAT2_YEAST	0.51	0.48	0.58	0.22	0.5	0	0.5	0.28	NUC
H104_YEAST	0.66	0.62	0.52	0.17	0.5	0	0.49	0.22	CYT
SYH_YEAST	0.51	0.68	0.49	0.59	0.5	0	0.54	0.27	MIT
HXT8_YEAST	0.42	0.44	0.33	0.17	0.5	0	0.54	0.27	ME3
ILV5_YEAST	0.57	0.61	0.55	0.67	0.5	0	0.48	0.22	MIT
IRA2_YEAST	0.4	0.45	0.42	0.17	0.5	0	0.54	0.26	ME3
ACOX_YEAST	0.46	0.41	0.5	0.44	0.5	0	0.53	0.22	MIT
KAR3_YEAST	0.34	0.31	0.6	0.37	0.5	0	0.5	0.3	NUC
KI28_YEAST	0.57	0.49	0.48	0.16	0.5	0	0.51	0.22	NUC
SYKC_YEAST	0.43	0.45	0.54	0.14	0.5	0	0.5	0.31	CYT
LAS1_YEAST	0.43	0.38	0.51	0.24	0.5	0	0.46	0.33	NUC
LOS1_YEAST	0.53	0.44	0.47	0.22	0.5	0	0.53	0.22	NUC
MK16_YEAST	0.49	0.62	0.65	0.18	0.5	0	0.46	0.43	NUC
OM20_YEAST	0.72	0.58	0.42	0.28	0.5	0	0.48	0.22	MIT
MDJ1_YEAST	0.4	0.52	0.53	0.52	0.5	0	0.51	0.22	MIT
MEP1_YEAST	0.47	0.6	0.35	0.21	0.5	0	0.52	0.22	ME3
MFA3_YEAST	0.8	0.81	0.55	0.35	0.5	0	0.42	0.22	EXC
C1TM_YEAST	0.45	0.73	0.47	0.65	0.5	0	0.54	0.43	MIT
MPI2_YEAST	0.59	0.57	0.43	0.26	0.5	0	0.51	0.22	MIT
RM02_YEAST	0.6	0.51	0.6	0.38	0.5	0.83	0.52	0.24	MIT
RM36_YEAST	0.64	0.64	0.56	0.21	0.5	0	0.5	0.22	MIT
RT09_YEAST	0.58	0.53	0.5	0.53	0.5	0	0.47	0.31	MIT
MSH3_YEAST	0.51	0.6	0.51	0.26	0.5	0	0.54	0.22	NUC
MS16_YEAST	0.61	0.59	0.47	0.49	0.5	0	0.54	0.22	MIT
MYS2_YEAST	0.53	0.41	0.5	0.24	1	0	0.47	0.22	CYT
NAM1_YEAST	0.51	0.46	0.54	0.41	0.5	0	0.53	0.22	MIT
NDI1_YEAST	0.53	0.61	0.51	0.49	0.5	0	0.54	0.27	MIT
NMT_YEAST	0.49	0.44	0.51	0.18	0.5	0	0.52	0.27	CYT
RNC1_YEAST	0.47	0.47	0.5	0.15	0.5	0	0.5	0.48	NUC
ACO1_YEAST	0.43	0.38	0.38	0.12	0.5	0	0.5	0.22	ME2
YINO_YEAST	0.76	0.67	0.37	0.22	0.5	0	0.54	0.22	ME2
IPB2_YEAST	0.45	0.46	0.61	0.2	0.5	0	0.62	0.22	CYT
PDI_YEAST	0.7	0.84	0.49	0.28	1	0	0.58	0.22	ERL
END1_YEAST	0.46	0.49	0.45	0.28	0.5	0	0.55	0.22	VAC
PT09_YEAST	0.48	0.52	0.49	0.35	0.5	0.5	0.51	0.22	MIT
PGM1_YEAST	0.43	0.45	0.53	0.19	0.5	0	0.56	0.22	CYT
PH80_YEAST	0.53	0.54	0.43	0.18	0.5	0	0.53	0.31	NUC
PIR3_YEAST	0.77	0.73	0.51	0.27	0.5	0	0.34	0.22	EXC
ATN1_YEAST	0.39	0.49	0.3	0.19	0.5	0	0.52	0.31	ME3
DPO4_YEAST	0.56	0.5	0.56	0.26	0.5	0	0.53	0.27	NUC
CBPY_YEAST	0.69	0.7	0.5	0.3	0.5	0	0.54	0.22	VAC
PROB_YEAST	0.56	0.48	0.5	0.17	0.5	0	0.51	0.26	CYT
PR39_YEAST	0.32	0.48	0.49	0.17	0.5	0	0.47	0.22	NUC
PRT1_YEAST	0.59	0.46	0.48	0.46	0.5	0	0.49	0.22	CYT
PUT1_YEAST	0.6	0.59	0.47	0.47	0.5	0	0.53	0.22	MIT
UCRQ_YEAST	0.57	0.6	0.54	0.17	0.5	0	0.52	0.22	MIT
RA26_YEAST	0.47	0.43	0.48	0.16	0.5	0	0.46	0.27	NUC
UBC2_YEAST	0.48	0.47	0.59	0.41	0.5	0	0.56	0.27	NUC
RCA1_YEAST	0.41	0.41	0.43	0.61	0.5	0	0.53	0.22	MIT
RFA3_YEAST	0.57	0.51	0.58	0.22	0.5	0	0.51	0.22	NUC
RIM2_YEAST	0.45	0.43	0.5	0.25	0.5	0	0.47	0.22	MIT
RS3B_YEAST	0.39	0.39	0.59	0.25	0.5	0	0.45	0.22	CYT
RPA2_YEAST	0.35	0.41	0.53	0.27	0.5	0	0.47	0.29	NUC
RPB7_YEAST	0.52	0.46	0.56	0.25	0.5	0	0.52	0.22	NUC
RPC3_YEAST	0.29	0.4	0.5	0.16	0.5	0	0.51	0.34	NUC
RL1A_YEAST	0.61	0.48	0.56	0.19	0.5	0	0.53	0.31	CYT
RL2_YEAST	0.63	0.64	0.45	0.26	0.5	0	0.43	0.22	CYT
RL41_YEAST	0.35	0.21	1	0.8	0.5	0	0.13	0.01	CYT
RLA3_YEAST	0.73	0.6	0.47	0.2	0.5	0	0.72	0.22	CYT
RS41_YEAST	0.32	0.44	0.54	0.21	0.5	0	0.4	0.19	CYT
RS28_YEAST	0.38	0.5	0.52	0.44	0.5	0	0.54	0.11	CYT
RRN7_YEAST	0.42	0.38	0.52	0.29	0.5	0	0.42	0.22	NUC
SCJ1_YEAST	0.39	1	0.38	0.41	0.5	0	0.5	0.27	MIT
SEC1_YEAST	0.6	0.51	0.49	0.18	0.5	0	0.53	0.38	CYT
SC21_YEAST	0.44	0.71	0.5	0.21	0.5	0	0.54	0.27	CYT
SC65_YEAST	0.41	0.4	0.56	0.17	0.5	0	0.56	0.22	CYT
SEN1_YEAST	0.47	0.37	0.46	0.28	0.5	0	0.52	0.99	NUC
SHR3_YEAST	0.7	0.57	0.34	0.19	0.5	0	0.53	0.27	ME2
SIS1_YEAST	0.56	0.55	0.57	0.15	0.5	0	0.54	0.25	CYT
SLU7_YEAST	0.19	0.16	0.68	0.36	0.5	0	0.49	0.21	NUC
SNC1_YEAST	0.27	0.41	0.24	0.2	0.5	0	0.49	0.22	ME3
YBC6_YEAST	0.54	0.6	0.57	0.17	0.5	0	0.44	0.22	NUC
SPB4_YEAST	0.57	0.55	0.51	0.18	0.5	0	0.51	0.43	NUC
SPT2_YEAST	0.37	0.48	0.67	0.37	0.5	0	0.56	0.62	NUC
SRB4_YEAST	0.49	0.6	0.42	0.18	0.5	0	0.58	0.28	NUC
SR68_YEAST	0.62	0.33	0.49	0.24	0.5	0	0.51	0.42	CYT
HS77_YEAST	0.51	0.5	0.49	0.45	0.5	0	0.48	0.22	MIT
ST12_YEAST	0.38	0.51	0.56	0.21	0.5	0	0.48	0.31	NUC
STF1_YEAST	0.55	0.41	0.67	0.61	0.5	0	0.49	0.14	MIT
INV4_YEAST	0.75	0.76	0.58	0.22	0.5	0	0.49	0.22	EXC
SUV3_YEAST	0.61	0.54	0.54	0.38	0.5	0	0.54	0.29	MIT
TBF1_YEAST	0.44	0.65	0.49	0.16	0.5	0	0.48	0.31	NUC
G3P3_YEAST	0.61	0.52	0.5	0.44	0.5	0	0.53	0.22	CYT
TFC1_YEAST	0.54	0.67	0.56	0.15	0.5	0	0.57	0.33	NUC
TIF3_YEAST	0.47	0.56	0.58	0.19	0.5	0	0.44	0.64	CYT
TKT1_YEAST	0.58	0.55	0.51	0.13	0.5	0	0.52	0.22	CYT
KAPA_YEAST	0.25	0.26	0.53	0.17	0.5	0	0.45	0.22	CYT
TRNL_YEAST	0.49	0.38	0.49	0.15	0.5	0	0.53	0.25	NUC
TTP1_YEAST	0.79	0.62	0.35	0.35	0.5	0	0.6	0.28	ME2
UBC1_YEAST	0.56	0.46	0.51	0.25	0.5	0	0.54	0.22	CYT
UGA3_YEAST	0.49	0.36	0.47	0.28	0.5	0	0.56	0.54	NUC
USO1_YEAST	0.5	0.47	0.45	0.14	0.5	0	0.53	0.32	ME3
VATC_YEAST	0.64	0.61	0.56	0.15	0.5	0	0.54	0.22	VAC
YP51_YEAST	0.63	0.56	0.52	0.21	0.5	0	0.5	0.22	CYT
YAB9_YEAST	0.4	0.45	0.45	0.15	0.5	0	0.53	0.48	NUC
YAP3_YEAST	0.71	0.79	0.41	0.38	0.5	0	0.54	0.22	ME1
MRF1_YEAST	0.46	0.61	0.55	0.29	0.5	0	0.49	0.22	MIT
YB72_YEAST	0.57	0.52	0.46	0.2	0.5	0.83	0.52	0.41	POX
YCG9_YEAST	0.74	0.73	0.32	0.2	0.5	0	0.55	0.22	ME1
YCW2_YEAST	0.54	0.54	0.56	0.18	0.5	0	0.46	0.29	NUC
YGL1_YEAST	0.38	0.56	0.38	0.16	0.5	0	0.53	0.22	ME3
YHG2_YEAST	0.2	0.6	0.5	0.29	0.5	0	0.51	0.22	ME3
YHU0_YEAST	0.63	0.71	0.44	0.53	0.5	0	0.52	0.22	ME2
YIN4_YEAST	0.58	0.67	0.49	0.16	0.5	0	0.47	0.28	MIT
YKM9_YEAST	0.41	0.45	0.46	0.23	0.5	0	0.5	0.7	CYT
YMC2_YEAST	0.38	0.47	0.47	0.18	0.5	0	0.44	0.26	MIT
YUR1_YEAST	0.81	0.62	0.43	0.17	0.5	0	0.53	0.22	ME2
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
